id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
47308994,Willamette Valley Wine Country Getaway!,16551601,Fay,,Ward 8,44.94471,-123.0856,Entire home/apt,175,1,16,2022-03-06,2.10,1,363,16,
47958424,"Furnished flat with office near Bush Park, Salem",102278503,Victoria,,Ward 2,44.92637,-123.03363,Entire home/apt,83,60,1,2021-10-31,0.21,3,79,1,
47987577,Upper Apartment in Historic District Near Hospital,51012505,Amanda,,Ward 1,44.93742,-123.02176,Entire home/apt,90,30,6,2021-12-29,0.69,4,161,6,
48000304,1950's Charm-Great for long/short term. Come stay!,12285441,Sheri,,Ward 2,44.91716,-123.03851,Entire home/apt,129,7,31,2022-01-18,2.35,1,321,27,
48138030,"Private entry, beautiful farmhouse vibe and quiet",45044784,Debbie,,Ward 7,44.91103,-123.06537,Entire home/apt,90,1,49,2022-03-20,4.07,3,66,49,
48186390,Willamette River Guesthouse,24077619,Cheryl,,Ward 5,44.9747,-123.03446,Entire home/apt,200,2,45,2022-03-02,3.38,1,235,39,
48384939,Private getaway in a beautiful  neighborhood,57072094,Lily,,Ward 8,44.94284,-123.0837,Entire home/apt,105,2,13,2022-02-20,1.02,1,353,11,
48546846,The Grace House - Guest Suite,348921397,Kristie,,Ward 1,44.9508,-123.01147,Entire home/apt,116,3,17,2022-03-14,1.78,1,362,17,
48551936,Master Bedroom w/private bathroom/shower & view,51689419,Nick,,Ward 1,44.94507,-123.01205,Private room,89,1,35,2022-03-05,2.99,4,174,35,
48564869,700Mbps+ Wifi | Near Hospital | Clean | Work Area,391829961,Neil,,Ward 2,44.93195,-123.02164,Entire home/apt,95,30,4,2021-11-07,0.41,3,253,4,
48881053,Keizer Valley Estate🌿 (Near i5 Freeway & In-N-Out),165330582,Roddy,,Ward 5,44.99255,-123.0073,Entire home/apt,154,1,61,2022-01-23,5.14,2,329,61,
49034912,"The Garden Flat at Botaneity, Oregon wine country",120966503,Kayla,,Ward 8,44.96054,-123.06537,Entire home/apt,121,2,15,2022-03-21,4.17,1,143,15,
49127320,Houck Hollow,376667653,Colleen,,Ward 8,44.963562,-123.104721,Private room,79,2,4,2022-03-21,0.60,1,187,4,
49506192,New Spacious Basement Historic Downtown Salem!,378870814,Steeves,,Ward 1,44.93647,-123.02104,Entire home/apt,169,4,23,2021-10-18,2.21,3,76,23,
49634988,"Cozy newly refinished home, yard, central location",396161711,Kirt,,Ward 5,44.97816,-123.02356,Entire home/apt,200,1,42,2022-03-19,4.74,1,310,42,
49922598,NEW! Beautiful West Salem Getaway w/ Private Yard!,121688409,Evolve,,Ward 1,44.9434,-123.06362,Entire home/apt,166,3,7,2022-03-03,0.71,3,316,7,
50066652,South Salem - Home Away from Home #2 gold,221348317,Tammy,,Ward 4,44.87843,-123.04644,Entire home/apt,160,2,22,2022-03-21,3.20,2,120,22,
50115199,Apartment near Downtown Salem Riverfront,240317686,Isabellah,,Ward 1,44.94541,-123.02139,Shared room,75,1,0,,,1,0,0,
50119734,One Mile Stroll to Capitol! JeffersonStHome&Garden,404415327,Curt,,Ward 1,44.95337,-123.02079,Entire home/apt,245,2,0,,,1,319,0,
50349038,W/D in Unit | 700Mbps+ Wifi | Work Here | Peaceful,391829961,Neil,,Ward 7,44.90147,-123.05106,Entire home/apt,99,30,2,2022-03-02,0.62,3,238,2,
50447645,Jefferson Garden Cottage NE Salem Oreogn,407589371,Angela,,Ward 1,44.952446,-123.016159,Entire home/apt,179,2,12,2022-02-06,1.50,1,286,12,
50484701,"The Heart of Downtown Living 369 Court Salem, Ore.",407581863,Carole,,Ward 1,44.93751,-123.02567,Entire home/apt,144,2,25,2022-03-04,2.79,15,298,25,
50599685,New York Style Loft In Historic Downtown Salem OR.,407581863,Carole,,Ward 1,44.941975,-123.039902,Entire home/apt,179,2,13,2022-03-15,1.46,15,285,13,
50646670,Monthly Angry Owl Hideout 595 Tillman Salem Oregon,407581863,Carole,,Ward 2,44.916935,-123.039703,Entire home/apt,80,30,4,2021-11-14,0.52,15,270,4,
50664432,Beautiful Room with Queen bed  & back yard view.,51689419,Nick,,Ward 1,44.94373,-123.01299,Private room,79,1,1,2021-07-12,0.12,4,365,1,
50664808,Where's Waldo Wood Cabin 720 Waldo Ave SE Salem OR,407581863,Carole,,Ward 2,44.91694,-123.0397,Entire home/apt,150,2,4,2022-03-02,0.57,15,316,4,
50665003,"Quiet Peaceful Room w/Twin Bed, Desk & Cold A/C",51689419,Nick,,Ward 1,44.94385,-123.01336,Private room,74,1,2,2021-07-05,0.23,4,365,2,
50778095,"Monthly ""Church Charm"" 1895 Church SE Salem Oregon",407581863,Carole,,Ward 2,44.931149,-123.034988,Entire home/apt,125,30,8,2021-10-17,0.94,15,148,8,
50832882,Best place and quiet to be. In a nice house,410941749,Manasse,,Ward 8,44.98076,-123.08548,Private room,60,15,1,2021-08-10,0.13,2,354,1,
